里程,發生次數
77.4,2
77.6,1
77.7,3
77.9,1
78.0,3
78.1,7
78.2,2
78.5,1
78.6,1
78.9,6
79.0,1
79.2,3
79.3,1
79.5,5
79.6,9
79.7,3
79.8,6
79.9,1
80.0,1
80.1,2
80.2,1
80.5,2
80.6,6
80.7,1
80.8,2
80.9,3
81.0,1
81.2,1
81.3,2
81.4,1
81.5,1
81.6,7
81.7,1
81.8,5
81.9,10
82.0,13
82.1,2
82.2,2
82.4,1
82.5,1
82.6,1
82.7,1
82.8,5
82.9,1
83.0,35
83.1,1
83.2,1
83.4,1
83.5,6
83.6,6
83.8,2
83.9,1
84.0,7
84.1,5
84.2,3
84.5,2
84.6,3
84.7,2
84.8,4
85.0,4
85.1,1
85.3,8
85.4,4
85.6,2
85.7,6
85.8,6
85.9,1
86.0,3
86.1,8
86.2,3
86.3,4
86.4,2
86.5,1
86.6,6
86.7,4
86.8,3
86.9,4
87.0,7
87.2,5
87.3,13
87.4,18
87.5,19
87.6,28
87.7,28
87.8,41
87.9,60
88.0,197
88.1,10
88.2,6
88.3,8
88.4,1
88.5,3
88.6,6
88.7,8
88.9,5
89.0,2
89.2,1
89.3,4
89.5,3
89.7,1
89.8,1
89.9,1
90.0,4
90.1,1
90.2,3
90.3,3
90.4,6
90.5,4
90.6,6
90.8,5
90.9,3
91.0,29
91.2,3
91.3,2
91.4,1
91.5,8
91.6,3
91.8,4
91.9,4
92.0,10
92.1,1
92.4,2
92.6,1
92.8,8
92.9,1
93.0,4
93.2,6
93.3,4
93.4,4
93.5,3
93.6,8
93.7,1
93.8,1
93.9,5
94.0,1
94.2,5
94.5,2
94.6,6
94.9,4
95.0,44
95.4,2
95.7,1
95.8,1
95.9,2
96.0,6
96.2,3
96.3,3
96.4,6
96.6,1
96.8,1
97.4,2
97.5,5
97.7,3
97.8,3
98.0,7
98.3,8
98.5,1
98.6,2
98.7,6
98.8,1
99.0,16
99.1,5
99.9,1
100.0,5
100.2,1
100.4,1
100.5,5
100.6,6
100.7,4
100.8,1
100.9,1
101.0,3
101.2,1
101.3,1
101.5,1
101.6,1
102.2,1
102.5,3
102.6,2
103.0,1
103.4,1
103.6,1
104.2,1
104.6,1
104.7,1
106.4,1
106.6,1
107.0,1
107.3,1
107.4,2
107.6,1
107.8,1
107.9,1
108.0,7
108.4,2
109.0,2
109.1,3
109.2,3
109.3,1
109.4,1
110.0,1
110.3,1
110.4,9
111.0,2
111.2,1
112.0,1
112.3,1
112.9,1
113.0,1
113.4,1
113.5,1
114.0,1
114.2,1
114.5,1
114.7,1
114.9,1
115.0,1
116.0,1
116.2,1
117.6,1
118.8,1
119.6,1
119.7,1
119.8,1
120.1,1
121.0,1
121.2,1
121.3,1
121.6,1
121.8,1
122.0,1
123.0,1
123.4,2
126.2,2
126.4,1
126.8,1
127.5,2
127.6,1
127.7,1
127.9,1
128.5,1
128.8,1
130.6,1
131.5,1
131.6,1
131.8,1
131.9,1
132.0,2
132.6,1
132.7,1
132.8,3
132.9,1
133.0,1
133.2,1
134.5,2
135.3,1
135.9,2
136.0,1
136.1,1
136.4,1
137.0,1
137.4,1
138.0,2
139.7,1
139.8,2
140.0,1
140.08,3
140.1,1
140.8,1
140.9,2
141.5,1
141.7,1
141.8,1
143.0,1
143.9,1
144.0,2
144.1,1
144.3,1
145.0,6
145.3,1
145.7,1
145.9,1
146.0,2
146.4,2
146.7,1
147.0,1
147.5,1
147.7,1
148.0,2
148.3,1
148.6,1
148.7,1
148.8,2
149.2,1
149.5,1
149.6,2
150.0,3
150.1,4
150.2,4
150.3,1
150.6,1
150.7,1
150.8,2
151.0,1
151.4,2
151.5,1
151.6,1
151.9,2
152.0,3
152.5,1
152.6,1
152.8,2
153.0,4
153.3,1
153.5,2
153.7,1
154.0,4
154.1,1
154.2,2
154.5,3
154.7,1
154.8,1
155.0,2
155.4,1
156.0,3
156.6,1
157.0,2
157.3,1
157.5,1
157.7,1
158.0,1
158.1,1
158.5,1
158.7,1
158.8,1
159.0,2
159.4,1
159.5,2
160.0,1
160.3,1
160.6,5
160.7,1
160.8,1
161.0,3
161.4,1
161.5,1
162.0,1
162.6,1
162.7,1
163.0,1
163.4,2
163.51,1
163.8,1
164.0,1
164.1,1
164.3,2
164.5,3
164.6,3
164.8,5
164.9,1
165.0,13
165.2,1
165.3,1
165.5,8
